timestamp,station_id,latitude,longitude,wet_delay_mm,data_source
2024-01-02T00:00:00Z,RADIO001,41.2033,-77.1945,11.85,radiosonde
2024-01-02T01:00:00Z,RADIO001,41.2033,-77.1945,12.21,radiosonde
2024-01-02T02:00:00Z,RADIO001,41.2033,-77.1945,12.71,radiosonde
2024-01-02T03:00:00Z,RADIO001,41.2033,-77.1945,12.40,radiosonde
2024-01-02T04:00:00Z,RADIO001,41.2033,-77.1945,11.59,radiosonde
2024-01-02T05:00:00Z,RADIO001,41.2033,-77.1945,13.26,radiosonde
2024-01-02T00:00:00Z,RADIO002,40.4406,-79.9959,14.63,radiosonde
2024-01-02T01:00:00Z,RADIO002,40.4406,-79.9959,15.06,radiosonde
2024-01-02T02:00:00Z,RADIO002,40.4406,-79.9959,15.43,radiosonde
2024-01-02T03:00:00Z,RADIO002,40.4406,-79.9959,15.74,radiosonde
2024-01-02T04:00:00Z,RADIO002,40.4406,-79.9959,14.88,radiosonde
2024-01-02T05:00:00Z,RADIO002,40.4406,-79.9959,16.18,radiosonde
2024-01-02T00:00:00Z,RADIO003,42.3584,-71.0636,16.67,radiosonde
2024-01-02T01:00:00Z,RADIO003,42.3584,-71.0636,17.11,radiosonde
2024-01-02T02:00:00Z,RADIO003,42.3584,-71.0636,17.54,radiosonde
2024-01-02T03:00:00Z,RADIO003,42.3584,-71.0636,17.17,radiosonde
2024-01-02T04:00:00Z,RADIO003,42.3584,-71.0636,16.43,radiosonde
2024-01-02T05:00:00Z,RADIO003,42.3584,-71.0636,18.03,radiosonde
