station_id,timestamp,latitude,longitude,elevation,azimuth,zenith_wet_delay,temperature,humidity,pressure
DEMO001,2024-01-02T00:00:00Z,41.2033,-77.1945,320.5,45.0,0.189,12.3,58.2,1015.8
DEMO001,2024-01-02T01:00:00Z,41.2033,-77.1945,320.5,50.0,0.195,11.9,59.8,1015.6
DEMO001,2024-01-02T02:00:00Z,41.2033,-77.1945,320.5,55.0,0.203,11.5,61.4,1015.4
DEMO001,2024-01-02T03:00:00Z,41.2033,-77.1945,320.5,60.0,0.198,11.1,63.1,1015.2
DEMO001,2024-01-02T04:00:00Z,41.2033,-77.1945,320.5,65.0,0.185,10.8,64.7,1015.0
DEMO001,2024-01-02T05:00:00Z,41.2033,-77.1945,320.5,70.0,0.212,10.4,66.3,1014.8
DEMO002,2024-01-02T00:00:00Z,40.4406,-79.9959,244.0,120.0,0.234,14.1,62.5,1013.2
DEMO002,2024-01-02T01:00:00Z,40.4406,-79.9959,244.0,125.0,0.241,13.7,64.2,1013.0
DEMO002,2024-01-02T02:00:00Z,40.4406,-79.9959,244.0,130.0,0.247,13.3,65.8,1012.8
DEMO002,2024-01-02T03:00:00Z,40.4406,-79.9959,244.0,135.0,0.252,12.9,67.5,1012.6
DEMO002,2024-01-02T04:00:00Z,40.4406,-79.9959,244.0,140.0,0.238,12.5,69.1,1012.4
DEMO002,2024-01-02T05:00:00Z,40.4406,-79.9959,244.0,145.0,0.259,12.1,70.8,1012.2
DEMO003,2024-01-02T00:00:00Z,42.3584,-71.0636,19.5,200.0,0.267,15.8,55.3,1016.5
DEMO003,2024-01-02T01:00:00Z,42.3584,-71.0636,19.5,205.0,0.274,15.4,56.9,1016.3
DEMO003,2024-01-02T02:00:00Z,42.3584,-71.0636,19.5,210.0,0.281,15.0,58.6,1016.1
DEMO003,2024-01-02T03:00:00Z,42.3584,-71.0636,19.5,215.0,0.275,14.6,60.2,1015.9
DEMO003,2024-01-02T04:00:00Z,42.3584,-71.0636,19.5,220.0,0.263,14.2,61.9,1015.7
DEMO003,2024-01-02T05:00:00Z,42.3584,-71.0636,19.5,225.0,0.289,13.8,63.5,1015.5
DEMO004,2024-01-02T00:00:00Z,39.2904,-76.6122,156.8,300.0,0.221,13.5,60.7,1014.1
DEMO004,2024-01-02T01:00:00Z,39.2904,-76.6122,156.8,305.0,0.228,13.1,62.4,1013.9
DEMO004,2024-01-02T02:00:00Z,39.2904,-76.6122,156.8,310.0,0.235,12.7,64.0,1013.7
DEMO004,2024-01-02T03:00:00Z,39.2904,-76.6122,156.8,315.0,0.242,12.3,65.7,1013.5
DEMO004,2024-01-02T04:00:00Z,39.2904,-76.6122,156.8,320.0,0.229,11.9,67.3,1013.3
DEMO004,2024-01-02T05:00:00Z,39.2904,-76.6122,156.8,325.0,0.251,11.5,69.0,1013.1
